rgn_id,year,a_prot_1km
1,2000,85.75
1,2001,85.75
1,2002,85.75
1,2003,85.75
1,2004,85.75
1,2005,85.75
1,2006,85.75
1,2007,85.75
1,2008,85.75
1,2009,85.75
1,2010,85.75
1,2011,85.75
1,2012,85.75
1,2013,85.75
1,2014,85.75
1,2015,85.75
1,2016,85.75
1,2017,85.75
2,2000,85.75
2,2001,85.75
2,2002,85.75
2,2003,85.75
2,2004,85.75
2,2005,85.75
2,2006,85.75
2,2007,85.75
2,2008,85.75
2,2009,85.75
2,2010,85.75
2,2011,85.75
2,2012,85.75
2,2013,85.75
2,2014,85.75
2,2015,85.75
2,2016,85.75
2,2017,85.75
3,2000,85.75
3,2001,85.75
3,2002,85.75
3,2003,85.75
3,2004,85.75
3,2005,85.75
3,2006,85.75
3,2007,85.75
3,2008,85.75
3,2009,85.75
3,2010,85.75
3,2011,85.75
3,2012,85.75
3,2013,85.75
3,2014,85.75
3,2015,85.75
3,2016,85.75
3,2017,85.75
4,2000,85.75
4,2001,85.75
4,2002,85.75
4,2003,85.75
4,2004,85.75
4,2005,85.75
4,2006,85.75
4,2007,85.75
4,2008,85.75
4,2009,85.75
4,2010,85.75
4,2011,85.75
4,2012,85.75
4,2013,85.75
4,2014,85.75
4,2015,85.75
4,2016,85.75
4,2017,85.75
5,2000,85.75
5,2001,85.75
5,2002,85.75
5,2003,85.75
5,2004,85.75
5,2005,85.75
5,2006,85.75
5,2007,85.75
5,2008,85.75
5,2009,85.75
5,2010,85.75
5,2011,85.75
5,2012,85.75
5,2013,85.75
5,2014,85.75
5,2015,85.75
5,2016,85.75
5,2017,85.75
6,2000,85.75
6,2001,85.75
6,2002,85.75
6,2003,85.75
6,2004,85.75
6,2005,85.75
6,2006,85.75
6,2007,85.75
6,2008,85.75
6,2009,85.75
6,2010,85.75
6,2011,85.75
6,2012,85.75
6,2013,85.75
6,2014,85.75
6,2015,85.75
6,2016,85.75
6,2017,85.75
