rgn_id,sector,year,value,analysis_year
5,cf,2006,142186.8832034,2012
5,cf,2007,137962.9107724,2012
5,cf,2008,137528.3127498,2012
5,mar,2003,0,2012
5,mar,2004,0,2012
5,mar,2005,0,2012
5,mar,2006,0,2012
5,mar,2007,0,2012
5,mar,2008,0,2012
5,mmw,1998,0,2012
5,mmw,2008,0,2012
5,tour,2005,26334.1890603,2012
5,tour,2006,26609.5111838,2012
5,tour,2007,27863.3430167,2012
5,tour,2008,25649.6043207,2012
5,tour,2009,23324.2485475,2012
5,tour,2010,23205.1903319,2012
5,cf,2003,89629.9502,2013
5,cf,2004,79014.1765,2013
5,cf,2005,79014.1765,2013
5,cf,2006,89877.9287,2013
5,cf,2007,87207.9082,2013
5,cf,2008,86933.1939,2013
5,mar,2003,0,2013
5,mar,2004,0,2013
5,mar,2005,0,2013
5,mar,2006,0,2013
5,mar,2007,0,2013
5,mar,2008,0,2013
5,mmw,1998,0,2013
5,mmw,2008,0,2013
5,tour,2005,26334.1890603,2013
5,tour,2006,26609.5111838,2013
5,tour,2007,27863.3430167,2013
5,tour,2008,25649.6043207,2013
5,tour,2009,23324.2485475,2013
5,tour,2010,23205.1903319,2013
6,cf,2003,141794.5812164,2012
6,cf,2004,125000.427223,2012
6,cf,2005,125000.427223,2012
6,cf,2006,142186.8832034,2012
6,cf,2007,137962.9107724,2012
6,cf,2008,137528.3127498,2012
6,mar,2003,0,2012
6,mar,2004,0,2012
6,mar,2005,0,2012
6,mar,2006,0,2012
6,mar,2007,0,2012
6,mar,2008,0,2012
6,mmw,1998,0,2012
6,mmw,2008,0,2012
6,tour,2005,26334.1890603,2012
6,tour,2006,26609.5111838,2012
6,tour,2007,27863.3430167,2012
6,tour,2008,25649.6043207,2012
6,tour,2009,23324.2485475,2012
6,tour,2010,23205.1903319,2012
6,cf,2003,89629.9502,2013
6,cf,2004,79014.1765,2013
6,cf,2005,79014.1765,2013
6,cf,2006,89877.9287,2013
6,cf,2007,87207.9082,2013
6,cf,2008,86933.1939,2013
6,mar,2003,0,2013
6,mar,2004,0,2013
6,mar,2005,0,2013
6,mar,2006,0,2013
6,mar,2007,0,2013
6,mar,2008,0,2013
6,mmw,1998,0,2013
6,mmw,2008,0,2013
6,tour,2005,26334.1890603,2013
6,tour,2006,26609.5111838,2013
6,tour,2007,27863.3430167,2013
6,tour,2008,25649.6043207,2013
6,tour,2009,23324.2485475,2013
6,tour,2010,23205.1903319,2013
